,accuracy,loss
0,0.628449494949495,0.609708310735346
1,0.7210770202020202,0.5242064474146776
2,0.7395429292929293,0.5005276865682217
3,0.7510170454545455,0.48557729200522104
4,0.7581401515151515,0.47512858487500087
5,0.7642329545454546,0.46663894706904285
6,0.7692083333333334,0.45927550778003656
7,0.773522095959596,0.4535408551566529
8,0.7772847222222222,0.4477311479936947
9,0.7806388888888889,0.4431224037475056
10,0.7806199494949495,0.44300750274128387
11,0.7839488636363636,0.437670266320007
12,0.7867506313131313,0.43328344418725584
13,0.7894097222222223,0.42977220161876295
14,0.7917815656565657,0.42631685784368806
