,accuracy,loss
0,0.6470246212121212,0.5922939032701531
1,0.7301919191919192,0.5130048776696426
2,0.7460088383838384,0.49207504329296076
3,0.7555334595959596,0.47880548270423
4,0.7634071969696969,0.4675895815461573
5,0.7690631313131313,0.45964642556628793
6,0.7739185606060606,0.4526669842992166
7,0.777810606060606,0.4469662332077219
8,0.7807657828282828,0.4425088602304459
9,0.7831900252525252,0.4381803129941526
10,0.7858743686868687,0.43472906267883804
11,0.7878093434343434,0.4312211449290767
12,0.7901085858585859,0.4279769724173979
13,0.7920214646464646,0.4250326136657686
14,0.7936136363636364,0.4224111885271891
