,accuracy,loss
0,0.6438030303030303,0.6003663408202354
1,0.6998680555555555,0.551121987867837
2,0.7113604797979798,0.537396542000048
3,0.7176186868686869,0.5295436238712735
4,0.7216628787878788,0.524439049549777
5,0.7244621212121212,0.5208403032416045
6,0.7262525252525253,0.5178896225799213
7,0.7283623737373738,0.5155878052494742
8,0.7297948232323233,0.5136903399734786
9,0.7313352272727273,0.5122181343851667
10,0.7322765151515152,0.5107244339735821
11,0.7333939393939394,0.50948431933167
12,0.7345599747474747,0.5083015596950897
13,0.7353339646464646,0.5072749819334107
14,0.7356875,0.5063650832982979
